Vendor,Cable Zone,D of W,Time,Program Name,Rating A25+,Imp A25+,Rating W35+,Imp W35+,Share P25+,PUT P25+,Imp W35+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Iowa 866,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0600A-0900A,TBS,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0600A-0900A,TNT,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,CNN,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,ESPN,0.1,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,FXNC,0.9,,,,,,,,,,,,,6,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,HGTV,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,LIF,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,TBS,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,TNT,0.7,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0900A-0400P,USA,0.5,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,CNN,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,ESPN,0.4,,,,,,,,,,,,,6,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,FXNC,1.7,,,,,,,,,,,,,9,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,HGTV,0.4,,,,,,,,,,,,,4,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,LIF,0.5,,,,,,,,,,,,,4,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,TBS,0.4,,,,,,,,,,,,,4,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,TNT,0.8,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,0400P-0700P,USA,0.9,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,CNN,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,ESPN,1.2,,,,,,,,,,,,,8,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,FXNC,1.5,,,,,,,,,,,,,12,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,HGTV,0.6,,,,,,,,,,,,,7,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,LIF,0.5,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,TBS,0.8,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,TNT,1.5,,,,,,,,,,,,,6,,,
Suddenlink - Iowa 866,,Mon-Sun,0700P-1000P,USA,1,,,,,,,,,,,,,6,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,CNN,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,ESPN,0.6,,,,,,,,,,,,,5,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,FXNC,0.7,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,HGTV,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,LIF,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,TBS,0.4,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,TNT,0.7,,,,,,,,,,,,,3,,,
Suddenlink - Iowa 866,,Mon-Sun,1000P-1200A,USA,0.5,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,BET,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,CNN,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,ESPN,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,FAM,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,FXNC,2.1,,,,,,,,,,,,,9,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TBS,0.2,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TNT,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,TWC,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,BET,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,CNN,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,ESPN,0.1,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,FAM,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,FOOD,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,FXNC,0.9,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,HGTV,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,LIF,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TBS,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TLC,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TNT,0.7,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,TWC,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0900A-0400P,USA,0.5,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,AEN,0.4,,,,,,,,,,,,,11,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,BET,0.5,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,CNN,0.2,,,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,ESPN,0.4,,,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,FAM,0.2,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,FOOD,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,FXNC,1.7,,,,,,,,,,,,,9,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,HGTV,0.4,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,LIF,0.5,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TBS,0.4,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TLC,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TNT,0.8,,,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TWC,0.1,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,USA,0.9,,,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,AEN,0.6,,,,,,,,,,,,,15,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,BET,0.6,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,CNN,0.3,,,,,,,,,,,,,12,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,ESPN,1.2,,,,,,,,,,,,,12,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,FAM,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,FOOD,0.6,,,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,FXNC,1.5,,,,,,,,,,,,,15,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,HGTV,0.6,,,,,,,,,,,,,7,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,LIF,0.5,,,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TBS,0.8,,,,,,,,,,,,,10,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TLC,0.6,,,,,,,,,,,,,7,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TNT,1.5,,,,,,,,,,,,,12,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TWC,0.2,,,,,,,,,,,,,7,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,USA,1,,,,,,,,,,,,,12,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,AEN,0.3,,,,,,,,,,,,,9,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,BET,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,CNN,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,ESPN,0.6,,,,,,,,,,,,,9,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,FAM,0.1,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,FOOD,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,FXNC,0.7,,,,,,,,,,,,,9,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,HGTV,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,LIF,0.2,,,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TBS,0.4,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TLC,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TNT,0.7,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TWC,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,USA,0.5,,,,,,,,,,,,,3,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,BET,0.1,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,BRVO,,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,CNN,0.3,,,,,,,,,,,,,30,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,ESPN,0.3,,,,,,,,,,,,,33,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,FAM,,,,,,,,,,,,,,4,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,8,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,FXNC,2.1,,,,,,,,,,,,,53,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TBS,0.3,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TNT,0.3,,,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TWC,0.3,,,,,,,,,,,,,19,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,27,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,BET,0.2,,,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,BRVO,,,,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,CNN,0.2,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,ESPN,0.1,,,,,,,,,,,,,27,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,FAM,0.2,,,,,,,,,,,,,7,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,FOOD,0.2,,,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,FXNC,0.9,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,HGTV,0.2,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,LIF,0.3,,,,,,,,,,,,,19,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TBS,0.1,,,,,,,,,,,,,19,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TLC,0.1,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TNT,0.7,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TWC,0.2,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,USA,0.5,,,,,,,,,,,,,30,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,AEN,0.4,,,,,,,,,,,,,38,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,BET,0.5,,,,,,,,,,,,,28,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,BRVO,,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,CNN,0.2,,,,,,,,,,,,,53,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,ESPN,0.4,,,,,,,,,,,,,59,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,FAM,0.2,,,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,FOOD,0.4,,,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,FXNC,1.7,,,,,,,,,,,,,53,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,HGTV,0.4,,,,,,,,,,,,,38,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,LIF,0.5,,,,,,,,,,,,,48,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TBS,0.4,,,,,,,,,,,,,50,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TLC,0.2,,,,,,,,,,,,,30,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TNT,0.8,,,,,,,,,,,,,60,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TWC,0.1,,,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,USA,0.9,,,,,,,,,,,,,68,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,AEN,0.6,,,,,,,,,,,,,60,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,BET,0.7,,,,,,,,,,,,,42,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,BRVO,0.7,,,,,,,,,,,,,50,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,CNN,0.3,,,,,,,,,,,,,75,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,ESPN,1.2,,,,,,,,,,,,,99,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,FAM,0.3,,,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,FOOD,0.6,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,FXNC,1.6,,,,,,,,,,,,,75,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,HGTV,0.7,,,,,,,,,,,,,60,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,LIF,0.5,,,,,,,,,,,,,73,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TBS,0.9,,,,,,,,,,,,,63,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TLC,0.6,,,,,,,,,,,,,38,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TNT,1.5,,,,,,,,,,,,,90,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TWC,0.2,,,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,USA,1,,,,,,,,,,,,,105,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,AEN,0.6,,,,,,,,,,,,,30,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,BET,0.7,,,,,,,,,,,,,19,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,BRVO,0.7,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,CNN,0.3,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,ESPN,1.2,,,,,,,,,,,,,33,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,FAM,0.3,,,,,,,,,,,,,8,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,FOOD,0.6,,,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,FXNC,1.6,,,,,,,,,,,,,23,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,HGTV,0.7,,,,,,,,,,,,,25,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,LIF,0.5,,,,,,,,,,,,,25,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TBS,0.9,,,,,,,,,,,,,25,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TLC,0.6,,,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TNT,1.5,,,,,,,,,,,,,30,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TWC,0.2,,,,,,,,,,,,,13,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,USA,1,,,,,,,,,,,,,33,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,BET,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,CNN,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,ESPN,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,FAM,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,FXNC,2.1,,,,,,,,,,,,,12,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TBS,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TNT,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TWC,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,BET,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,CNN,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,ESPN,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,FAM,0.2,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,FOOD,0.2,,,,,,,,,,,,,7,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,FXNC,0.9,,,,,,,,,,,,,9,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,HGTV,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,LIF,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,TBS,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,TLC,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,TNT,0.7,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,TWC,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0900A-0400P,USA,0.5,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,AEN,0.4,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,BET,0.5,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,CNN,0.2,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,ESPN,0.4,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,FAM,0.2,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,FOOD,0.3,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,FXNC,1.7,,,,,,,,,,,,,12,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,HGTV,0.4,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,LIF,0.5,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,TBS,0.4,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,TLC,0.2,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,TNT,0.8,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,TWC,0.1,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0400P-0700P,USA,0.9,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,AEN,0.6,,,,,,,,,,,,,12,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,BET,0.6,,,,,,,,,,,,,7,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,CNN,0.3,,,,,,,,,,,,,9,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,ESPN,1.2,,,,,,,,,,,,,9,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,FAM,0.3,,,,,,,,,,,,,9,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,FOOD,0.6,,,,,,,,,,,,,10,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,FXNC,1.5,,,,,,,,,,,,,15,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,HGTV,0.6,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,LIF,0.5,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,TBS,0.8,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,TLC,0.6,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,TNT,1.5,,,,,,,,,,,,,11,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,TWC,0.2,,,,,,,,,,,,,8,,,
Suddenlink - Jennings 6789,,Mon-Sun,0700P-1000P,USA,1,,,,,,,,,,,,,11,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,AEN,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,BET,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,CNN,0.1,,,,,,,,,,,,,5,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,ESPN,0.6,,,,,,,,,,,,,5,,,
